Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C0603-ROUND",133.946100,-110.871000,180.000000,bottom
"C2","4,7uF_16V","TAN-A",129.451100,-106.273600,90.000000,bottom
"C3","1uF","C0603-ROUND",146.773900,-107.772200,-0.000000,bottom
"C4","100nF","C0603-ROUND",143.725900,-107.848400,180.000000,bottom
"C5","4,7uF_16V","TAN-A",158.432500,-102.743000,-0.000000,bottom
"C6","100nF","C0603-ROUND",131.483100,-104.876600,-90.000000,bottom
"C7","1uF","C0603-ROUND",156.552900,-104.622600,180.000000,bottom
"C8","1uF","C0603-ROUND",155.486100,-110.337600,180.000000,bottom
"C9","100nF","C0603-ROUND",158.203900,-100.050600,-0.000000,bottom
"D1","SS1P3L","DO220AAL",155.486100,-101.574600,90.000000,bottom
"F1","MFFSMF050","0603-1608X90N",128.993900,-109.397800,-0.000000,bottom
"IC1","FT232RL","SSOP28",141.516100,-108.585000,180.000000,bottom
"IC2","LM1117IMPX-5.0","LINEAR_SOT223",160.058100,-107.416600,-90.000000,bottom
"RP1","1K","CAY16",150.533100,-108.102400,-90.000000,bottom
"RP2","1K","CAY16",150.533100,-101.701600,90.000000,bottom
"U$53","DNP","FD-1-1.5",168.490900,-110.032800,90.000000,bottom
"U$54","DNP","FD-1-1.5",168.795700,-99.288600,90.000000,bottom
